"source_business_id","name","full_address","street_address","city","zip","municipality","state","country","timezone","phone_1","phone_standard_format","email_from_website","website","domain","claimed_google_my_business","reviews_count","average_rating","business_status","hours","latitude","longitude","plus_code","place_id","gmb_url","cid","google_knowledge_url","image_url","review_url","facebook_url","linkedin_url","twitter_url","instagram_url","youtube_url","meta_description","kgmid"
"ChIJCe9tGb_B5YgR5QIm2cHnR60","Spacharm","4113 Eagle Landing Pkwy  Orange Park  FL 32065  United States","4113 Eagle Landing Pkwy","Orange Park","32065","United States","Florida","US","America/New_York","+19044001612","(904) 400-1612","","https://spacharm.net/","spacharm.net","No","2","5","open","Wednesday, 9?AM-8?PM; Thursday, 9?AM-8?PM; Friday, 9?AM-8?PM; Saturday, 9?AM-8?PM; Sunday, 9?AM-8?PM; Monday, 9?AM-8?PM; Tuesday, 9?AM-8?PM; ","Lat 30.164399699999997","Lng -81.86353539999999","862W547P+QH4","ChIJCe9tGb_B5YgR5QIm2cHnR60","https://www.google.com/maps/place/?q=place_id:ChIJCe9tGb_B5YgR5QIm2cHnR60","12486203311665840869","https://www.google.com/search?kgmid=/g/11rq93vkrt","https://lh5.googleusercontent.com/p/d39T9K8vngKECKGl_UrWkg","https://search.google.com/local/reviews?placeid=ChIJCe9tGb_B5YgR5QIm2cHnR60&q=health+spa+in+Lakeside,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/spacharm","","","https://www.instagram.com/17841408626361089/","","","/g/11rq93vkrt"
"ChIJwTeoJmKd5ogRsrZW1XKYVnw","Glow Balance Med Spa","128 Sea Grove Main St  St Augustine Beach  FL 32080  United States","128 Sea Grove Main St","St Augustine Beach","32080","United States","Florida","US","America/New_York","+19044674569","(904) 467-4569","","http://glowbalancespa.com/","glowbalancespa.com","No","10","5","open","Tuesday, 9?AM-5?PM; Wednesday, 9?AM-5?PM; Thursday, 9?AM-5?PM; Friday, 9?AM-5?PM; Saturday, Closed; Sunday, Closed; Monday, 9?AM-5?PM; ","Lat 29.845905","Lng -81.277464","76XWRPWF+927","ChIJwTeoJmKd5ogRsrZW1XKYVnw","https://www.google.com/maps/place/?q=place_id:ChIJwTeoJmKd5ogRsrZW1XKYVnw","8959516127673104050","https://www.google.com/search?kgmid=/g/11r2y3nlqt","https://lh5.googleusercontent.com/p/AF1QipNRX_gkxkFH05em0pcFO9td5wmVgllk7VpOdU4g","https://search.google.com/local/reviews?placeid=ChIJwTeoJmKd5ogRsrZW1XKYVnw&q=wellness+spa+in+St.+Augustine,+Florida,+USA&authuser=0&hl=en","https://www.facebook.com/glowbalancespa/","","","https://www.instagram.com/glowbalancemedspa/","https://www.youtube.com/channel/UCrzu-YP0fWThiXzyodxp5PQ","Boutique med spa in St. Augustine, Florida that offers botox, fillers, chemical peels, laser hair removal, IPL, facials, and more! By combining superior medical knowledge, training, and technical skill with artistry and a sensitive, compassionate touch, we strive to provide our clients with a rejuvenated, natural appearance that they will feel proud of without breaking the bank!","/g/11r2y3nlqt"
"ChIJcx4fYk0x5IgR19bK3gpR2ho","Bluewater Health & Wellness","340 Town Plaza Ave #240  Ponte Vedra Beach  FL 32081  United States","340 Town Plaza Ave #240","Ponte Vedra Beach","32081","United States","Florida","US","America/New_York","+19045952583","(904) 595-2583","","http://blueh2ohealth.com/","blueh2ohealth.com","No","32","5","open","Tuesday, 8:30?AM-6?PM; Wednesday, 8:30?AM-4:30?PM; Thursday, 8:30?AM-4:30?PM; Friday, 8:30?AM-6?PM; Saturday, Closed; Sunday, Closed; Monday, 8:30?AM-6?PM; ","Lat 30.110744399999998","Lng -81.4215316","862W4H6H+79W","ChIJcx4fYk0x5IgR19bK3gpR2ho","https://www.blueh2ohealth.com/contact","https://www.google.com/maps/place/?q=place_id:ChIJcx4fYk0x5IgR19bK3gpR2ho","1934948097038407383","/g/11fwkhx9zq","https://lh5.googleusercontent.com/p/AF1QipPMehT7rGK884oB0wrj_qOsgl5Vr1n4q1PIzThw","https://search.google.com/local/reviews?placeid=ChIJcx4fYk0x5IgR19bK3gpR2ho&q=wellness+spa+in+Fruit+Cove,+Florida,+USA&authuser=0&hl=en","","","","","","https://www.google.com/search?kgmid=/g/11fwkhx9zq"
"ChIJufbGmhsx5IgRnsAl9lOnDic","Spavia Day Spa","80 Pine Lake Dr Suite B  Ponte Vedra Beach  FL 32081  United States","80 Pine Lake Dr Suite B","Ponte Vedra Beach","32081","United States","Florida","US","America/New_York","+19043957300","(904) 395-7300","","https://pontevedrafl.spaviadayspa.com/","pontevedrafl.spaviadayspa.com","No","172","4.8","open","Tuesday, 10?AM-8?PM; Wednesday, 10?AM-8?PM; Thursday, 10?AM-8?PM; Friday, 10?AM-8?PM; Saturday, 9?AM-6?PM; Sunday, 11?AM-5?PM; Monday, 10?AM-8?PM; ","Lat 30.107581","Lng -81.4147103","862W4H5P+24M","ChIJufbGmhsx5IgRnsAl9lOnDic","https://www.google.com/maps/place/?q=place_id:ChIJufbGmhsx5IgRnsAl9lOnDic","2814370796206932126","https://www.google.com/search?kgmid=/g/11h0006ym2","https://lh5.googleusercontent.com/p/AF1QipM54QfwCJpKAq6Dxl1tkuvvkMQiC6yt-n3GJxT3","https://search.google.com/local/reviews?placeid=ChIJufbGmhsx5IgRnsAl9lOnDic&q=wellness+spa+in+Jacksonville,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/11h0006ym2"
"ChIJcU6GqECd5ogR0JFoBuS2has","Advanced Healing Therapies Co","1797 Old Moultrie Rd #103  St. Augustine  FL 32084  United States","1797 Old Moultrie Rd #103","St. Augustine","32084","United States","Florida","US","America/New_York","+19047979937","(904) 797-9937","","http://www.advancedhealingtherapies.com/","advancedhealingtherapies.com","No","9","4.6","open","Tuesday, 9?AM-5?PM; Wednesday, 9?AM-5?PM; Thursday, 9?AM-5?PM; Friday, 9?AM-1?PM; Saturday, 9?AM-1?PM; Sunday, Closed; Monday, 9?AM-1?PM; ","Lat 29.868247999999998","Lng -81.32666979999999","76XWVM9F+78W","ChIJcU6GqECd5ogR0JFoBuS2has","https://www.google.com/maps/place/?q=place_id:ChIJcU6GqECd5ogR0JFoBuS2has","12359485842864509392","https://www.google.com/search?kgmid=/g/1tgw5vp_","https://lh5.googleusercontent.com/p/AF1QipPiPWQYH_1Z_yzd5XdCYDYemGlKrAXguw0fgAW6","https://search.google.com/local/reviews?placeid=ChIJcU6GqECd5ogR0JFoBuS2has&q=health+spa+in+St.+Augustine,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/1tgw5vp_"
"ChIJETYQOfvZ5ogRHk1RVy3OLew","A1 Massage","2136 S Atlantic Ave  Daytona Beach  FL 32118  United States","2136 S Atlantic Ave","Daytona Beach","32118","United States","Florida","US","America/New_York","+13863017988","(386) 301-7988","nikkijadefl@gmail.com","http://a1massagefl.com/","a1massagefl.com","No","25","3.8","open","Tuesday, 9?AM-9:30?PM; Wednesday, 9?AM-9:30?PM; Thursday, 9?AM-9:30?PM; Friday, 9?AM-9:30?PM; Saturday, 9?AM-9:30?PM; Sunday, 9?AM-9:30?PM; Monday, 9?AM-9:30?PM; ","Lat 29.196509","Lng -80.994239","76XX52W4+J82","ChIJETYQOfvZ5ogRHk1RVy3OLew","https://www.google.com/maps/place/?q=place_id:ChIJETYQOfvZ5ogRHk1RVy3OLew","17018485261036768542","https://www.google.com/search?kgmid=/g/11hbq_0p5l","https://lh5.googleusercontent.com/p/AF1QipN4VU2Ig445ki1x3VAqot_BoE0SjgdwA0cmBvVU","https://search.google.com/local/reviews?placeid=ChIJETYQOfvZ5ogRHk1RVy3OLew&q=wellness+spa+in+Daytona+Beach,+Florida,+USA&authuser=0&hl=en","","","","","","Visit A1 Massage at 2136 S Atlantic Ave. Daytona Beach Shores, for the best massage in the Daytona area.  Enjoy total relaxation from a licensed massage therapist. 386-301-7988 - Visit our massage spa in Daytona Beach Shores today!","/g/11hbq_0p5l"
"ChIJ031hvRfY5ogRYj2mC9pD0Ls","A Hand In Health Massage","733 Dunlawton Ave  Port Orange  FL 32127  United States","733 Dunlawton Ave","Port Orange","32127","United States","Florida","US","America/New_York","+13866897964","(386) 689-7964","melissa@ahandinhealthmassage.com","https://www.ahandinhealthmassage.com/contact","ahandinhealthmassage.com","No","","","open","","Lat 29.1363134","Lng -80.9997516","76XX42P2+G3H","ChIJ031hvRfY5ogRYj2mC9pD0Ls","https://www.google.com/maps/place/?q=place_id:ChIJ031hvRfY5ogRYj2mC9pD0Ls","13533391484025716066","https://www.google.com/search?kgmid=/g/11vk2lrrl9","https://lh5.googleusercontent.com/p/mYSMiqu6bCbi4TtprAh67Q","","https://www.facebook.com/ahandinhealth","","","https://www.instagram.com/ahandinhealthmassage","","418 Canal Street, New Smyrna Beach, FL 32168Located on the beautiful, downtown feel canal street district. Massage, Shop, Therapeutic Massage, Health, Wellness","/g/11vk2lrrl9"
"ChIJBy3FJwbY5ogRcdWTAq0T_l8","Verde Salon and Spa","731 Dunlawton Ave STE 103  Port Orange  FL 32127  United States","731 Dunlawton Ave STE 103","Port Orange","32127","United States","Florida","US","America/New_York","+13863107929","(386) 310-7929","","http://verdesalonfl.com/","verdesalonfl.com","No","55","4.8","open","Tuesday, 10?AM-7?PM; Wednesday, 10?AM-7?PM; Thursday, 10?AM-7?PM; Friday, 10?AM-7?PM; Saturday, 10?AM-3?PM; Sunday, Closed; Monday, Closed; ","Lat 29.1366272","Lng -80.9995096","76XX42P2+M55","ChIJBy3FJwbY5ogRcdWTAq0T_l8","https://www.google.com/maps/place/?q=place_id:ChIJBy3FJwbY5ogRcdWTAq0T_l8","6916987711481173361","https://www.google.com/search?kgmid=/g/11bwh5ghz3","https://lh5.googleusercontent.com/p/AF1QipMnJ3HMesmfWMbyejtwXLD2sNdOXBXSS41RWSAe","https://search.google.com/local/reviews?placeid=ChIJBy3FJwbY5ogRcdWTAq0T_l8&q=wellness+spa+in+Port+Orange,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/11bwh5ghz3"
"ChIJEUg25FYv54gRWoMtZUL5HSg","The Palms Salon & Day Spa","501 N Ridgewood Ave #D  Edgewater  FL 32132  United States","501 N Ridgewood Ave #D","Edgewater","32132","United States","Florida","US","America/New_York","+13864446065","(386) 444-6065","","http://thepalmssalon.club/","thepalmssalon.club","No","36","4.9","open","","Lat 29.002153399999997","Lng -80.9123831","76XX232Q+V29","ChIJEUg25FYv54gRWoMtZUL5HSg","https://www.google.com/maps/place/?q=place_id:ChIJEUg25FYv54gRWoMtZUL5HSg","2890740599402365786","https://www.google.com/search?kgmid=/g/11h5rll_nb","https://lh5.googleusercontent.com/p/AF1QipOqMJGhtwrZbKC0njKlHvUNITlHa2U-suEXoxaQ","https://search.google.com/local/reviews?placeid=ChIJEUg25FYv54gRWoMtZUL5HSg&q=wellness+spa+in+Edgewater,+Florida,+USA&authuser=0&hl=en","","","","","","","/g/11h5rll_nb"
"ChIJL63aqMWX5ogRD6RKlpkGh1k","Fountain of Youth Spa","5182 N Ocean Shore Blvd #3  Palm Coast  FL 32137  United States","5182 N Ocean Shore Blvd #3","Palm Coast","32137","United States","Florida","US","America/New_York","+19042954595","(904) 295-4595","stauglaser@gmail.com","https://www.fountainofyouthspalaser.com/","fountainofyouthspalaser.com","No","","","open","","Lat 29.5927623","Lng -81.19434319999999","76XWHRV4+473","ChIJL63aqMWX5ogRD6RKlpkGh1k","https://www.google.com/maps/place/?q=place_id:ChIJL63aqMWX5ogRD6RKlpkGh1k","6451132247952761871","https://www.google.com/search?kgmid=/g/11j2fgn2l0","https://lh5.googleusercontent.com/p/wy1ap3qmuHYuAuahFLpR3A","","https://www.facebook.com/fountainofyouthspa/","","","http://instagram.com/Fountainofyouthspa","","","/g/11j2fgn2l0"
